Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-26,2015,1,26,Monday,04,2015-04,56.41,56.99,56.2,56.77,12577700,47.43,0.001689545934530079,48.085714285714275,48.49999999999999
2015-01-27,2015,1,27,Tuesday,04,2015-04,56.05,56.61,55.76,56.2,15220500,46.95,-0.010120177103099204,47.919999999999995,48.40882352941176
2015-01-28,2015,1,28,Wednesday,04,2015-04,56.62,56.68,54.75,54.75,24354400,45.74,-0.025772097976570874,47.66214285714285,48.260555555555555
2015-01-29,2015,1,29,Thursday,04,2015-04,55.27,55.89,54.68,55.67,20393300,46.51,0.016834280717096473,47.38071428571427,48.16842105263157
2015-01-30,2015,1,30,Friday,04,2015-04,54.99,55.5,54.37,54.38,26943700,45.43,-0.02322081272844545,47.08499999999998,48.031499999999994
2015-02-02,2015,2,2,Monday,05,2015-05,54.53,55.65,54.27,55.47,20308900,46.34,0.02003081664098616,46.884285714285696,47.95095238095238
2015-02-03,2015,2,3,Tuesday,05,2015-05,55.91,56.78,55.87,56.72,18812500,47.39,0.0226586102719033,46.75785714285713,47.92545454545454
2015-02-04,2015,2,4,Wednesday,05,2015-05,56.32,57.07,56.28,56.38,14934100,47.1,-0.006119434479848085,46.73214285714284,47.889565217391294
2015-02-05,2015,2,5,Thursday,05,2015-05,56.86,57.04,56.46,56.77,11293900,47.43,0.00700636942675148,46.83857142857141,47.870416666666664
2015-02-06,2015,2,6,Friday,05,2015-05,57.75,58.73,57.54,57.89,25214000,48.36,0.019607843137254832,46.954999999999984,47.88999999999999
2015-02-09,2015,2,9,Monday,06,2015-06,57.42,58.1,57.23,57.82,14372400,48.3,-0.001240694789081953,47.08071428571427,47.905769230769224
2015-02-10,2015,2,10,Tuesday,06,2015-06,58.42,58.71,58.05,58.46,16367300,48.84,0.011180124223602705,47.2342857142857,47.94037037037036
2015-02-11,2015,2,11,Wednesday,06,2015-06,58.06,58.66,57.84,58.37,13061900,48.76,-0.0016380016380017626,47.28071428571427,47.969642857142844
2015-02-12,2015,2,12,Thursday,06,2015-06,58.93,59.71,58.55,59.57,23211300,49.77,0.020713699753896808,47.45357142857141,48.03172413793102
2015-02-13,2015,2,13,Friday,06,2015-06,59.46,60.22,59.34,59.67,16479100,49.85,0.0016073940124572417,47.626428571428555,48.092333333333315
2015-02-17,2015,2,17,Tuesday,07,2015-07,59.36,60.14,59.32,60.1,15308800,50.21,0.007221664994985,47.8592857142857,48.16064516129031
2015-02-18,2015,2,18,Wednesday,07,2015-07,60.1,60.1,59.12,59.37,14278100,49.6,-0.012148974307906735,48.134999999999984,48.20562499999998
2015-02-19,2015,2,19,Thursday,07,2015-07,59.15,59.48,58.8,59.23,11256500,49.48,-0.0024193548387098085,48.34714285714284,48.24424242424241
2015-02-20,2015,2,20,Friday,07,2015-07,58.96,59.89,58.35,59.8,15379000,49.96,0.009700889248181133,48.670714285714276,48.29470588235293
2015-02-23,2015,2,23,Monday,08,2015-08,59.5,59.53,58.8,59.35,16814000,49.58,-0.00760608486789438,48.90214285714285,48.33142857142855
2015-02-24,2015,2,24,Tuesday,08,2015-08,60.25,61.25,60.08,60.82,22937700,50.81,0.02480839048003225,49.14642857142856,48.40027777777776
2015-02-25,2015,2,25,Wednesday,08,2015-08,60.76,61.27,60.75,61.14,18307900,51.08,0.005313914583743307,49.430714285714274,48.47270270270268
2015-02-26,2015,2,26,Thursday,08,2015-08,61.03,61.7,60.91,61.58,15444800,51.45,0.0072435395458105845,49.71785714285714,48.55105263157893
2015-02-27,2015,2,27,Friday,08,2015-08,61.13,61.92,61.13,61.28,15225900,51.19,-0.005053449951409217,49.92,48.618717948717936
2015-03-02,2015,3,2,Monday,09,2015-09,61.28,61.83,61.03,61.77,13047300,51.6,0.008009376831412451,50.15571428571429,48.693249999999985
2015-03-03,2015,3,3,Tuesday,09,2015-09,61.65,61.99,61.5,61.97,13706900,51.77,0.003294573643410903,50.365,48.76829268292681
2015-03-04,2015,3,4,Wednesday,09,2015-09,61.64,62.17,61.35,62.13,16625500,51.91,0.002704268881591476,50.589999999999996,48.84309523809522
2015-03-05,2015,3,5,Thursday,09,2015-09,62.2,62.23,61.6,62.0,10931300,51.8,-0.0021190522057407124,50.735,48.91186046511627
2015-03-06,2015,3,6,Friday,09,2015-09,62.16,62.87,60.8,60.89,22719200,50.87,-0.01795366795366793,50.80785714285714,48.956363636363626
2015-03-09,2015,3,9,Monday,10,2015-10,60.84,61.63,60.8,61.5,13001500,51.38,0.010025555337134007,50.89142857142856,49.01022222222221
2015-03-10,2015,3,10,Tuesday,10,2015-10,60.76,61.01,59.96,59.96,16357700,50.09,-0.025107045543012796,50.926428571428566,49.033695652173904
2015-03-11,2015,3,11,Wednesday,10,2015-10,60.13,60.65,59.96,60.24,13015600,50.33,0.004791375524056507,50.98714285714285,49.06127659574467
2015-03-12,2015,3,12,Thursday,10,2015-10,60.65,61.45,60.65,61.37,18159600,51.27,0.018676733558513847,51.08071428571428,49.10729166666666
2015-03-13,2015,3,13,Friday,10,2015-10,61.4,61.86,60.43,61.0,16506200,50.96,-0.006046420908913608,51.179285714285705,49.14510204081632
2015-03-16,2015,3,16,Monday,11,2015-11,61.5,61.92,61.25,61.85,15182900,51.67,0.013932496075353296,51.240714285714276,49.19559999999999
2015-03-17,2015,3,17,Tuesday,11,2015-11,61.34,61.66,60.92,61.61,11718300,51.47,-0.0038707180181923873,51.26857142857142,49.18079999999999
2015-03-18,2015,3,18,Wednesday,11,2015-11,61.39,62.05,61.09,61.75,15697900,51.59,0.0023314552166311397,51.27857142857142,49.20079999999999
2015-03-19,2015,3,19,Thursday,11,2015-11,61.57,61.65,60.76,61.2,11523800,51.13,-0.00891645667765073,51.27428571428571,49.23799999999999
2015-03-20,2015,3,20,Friday,11,2015-11,61.32,62.1,61.15,61.75,18368300,51.59,0.008996675141795363,51.27357142857142,49.282799999999995
2015-03-23,2015,3,23,Monday,12,2015-12,61.75,62.08,61.12,61.14,15112900,51.08,-0.00988563675130849,51.22428571428571,49.2954
2015-03-24,2015,3,24,Tuesday,12,2015-12,60.97,61.24,60.45,60.46,12128700,50.51,-0.011158966327329711,51.12428571428571,49.3142
2015-03-25,2015,3,25,Wednesday,12,2015-12,60.53,60.64,59.59,59.61,14950900,49.8,-0.014056622450999812,50.98142857142857,49.327200000000005
2015-03-26,2015,3,26,Thursday,12,2015-12,59.46,59.79,58.87,59.54,14039600,49.74,-0.00120481927710836,50.90071428571429,49.3388
2015-03-27,2015,3,27,Friday,12,2015-12,59.49,59.78,59.0,59.55,11755800,49.75,0.00020104543626864313,50.784285714285716,49.3846
2015-03-30,2015,3,30,Monday,13,2015-13,60.88,61.46,60.61,60.96,20656500,50.93,0.023718592964824037,50.84428571428571,49.484399999999994
2015-03-31,2015,3,31,Tuesday,13,2015-13,60.72,60.94,60.42,60.58,17346700,50.61,-0.006283133712939315,50.86428571428571,49.562
2015-04-01,2015,4,1,Wednesday,13,2015-13,60.41,60.57,59.73,59.95,18100600,50.42,-0.0037541987749456496,50.80357142857142,49.6396
2015-04-02,2015,4,2,Thursday,13,2015-13,60.07,60.7,60.0,60.52,12697800,50.9,0.00952003173343896,50.7992857142857,49.723800000000004
2015-04-06,2015,4,6,Monday,14,2015-14,59.92,60.75,59.65,60.47,12025200,50.85,-0.0009823182711198308,50.740714285714276,49.7786
2015-04-07,2015,4,7,Tuesday,14,2015-14,61.15,61.5,60.85,60.85,11505500,51.17,0.006293018682399287,50.719285714285704,49.855
2015-04-08,2015,4,8,Wednesday,14,2015-14,61.06,61.56,60.94,61.05,11734000,51.34,0.0033222591362127574,50.70142857142856,49.93320000000001
2015-04-09,2015,4,9,Thursday,14,2015-14,61.27,61.58,60.83,61.47,11728500,51.7,0.0070120763537202535,50.742142857142845,50.028200000000005
2015-04-10,2015,4,10,Friday,14,2015-14,61.35,61.78,61.2,61.7,9869700,51.89,0.0036750483558993796,50.76357142857142,50.15120000000001
2015-04-13,2015,4,13,Monday,15,2015-15,61.64,62.27,61.5,62.07,15468700,52.2,0.005974176141838594,50.843571428571416,50.265
2015-04-14,2015,4,14,Tuesday,15,2015-15,62.96,63.61,62.74,63.04,33775400,53.02,0.015708812260536442,51.02285714285713,50.4168
2015-04-15,2015,4,15,Wednesday,15,2015-15,63.08,64.48,63.01,64.21,28732200,54.0,0.018483591097698815,51.32285714285713,50.57
2015-04-16,2015,4,16,Thursday,15,2015-15,64.08,64.27,63.66,63.81,16640500,53.66,-0.006296296296296355,51.60285714285713,50.6954
2015-04-17,2015,4,17,Friday,15,2015-15,63.25,63.4,62.49,62.84,20221200,52.85,-0.015095042862467323,51.8242857142857,50.8104
2015-04-20,2015,4,20,Monday,16,2015-16,63.22,63.52,63.14,63.24,12755300,53.18,0.006244087038788981,51.98499999999999,50.925399999999996
2015-04-21,2015,4,21,Tuesday,16,2015-16,63.33,63.6,62.13,62.31,14985100,52.4,-0.014667168108311368,52.11285714285713,51.0062
2015-04-22,2015,4,22,Wednesday,16,2015-16,62.65,63.15,62.03,62.94,14484700,52.93,0.010114503816794018,52.29214285714284,51.09879999999999
2015-04-23,2015,4,23,Thursday,16,2015-16,62.79,63.21,62.6,62.8,12851300,52.81,-0.002267145286227068,52.42857142857142,51.17819999999999
2015-04-24,2015,4,24,Friday,16,2015-16,62.63,62.84,62.34,62.6,9597500,52.65,-0.0030297292179511937,52.55714285714284,51.255999999999986
2015-04-27,2015,4,27,Monday,17,2015-17,62.7,63.15,62.31,62.34,11146400,52.43,-0.004178537511870806,52.647142857142846,51.30919999999998
2015-04-28,2015,4,28,Tuesday,17,2015-17,62.49,62.78,61.77,62.76,12307800,52.78,0.006675567423231055,52.749999999999986,51.36779999999999
2015-04-29,2015,4,29,Wednesday,17,2015-17,62.56,63.89,62.46,63.6,17601200,53.49,0.01345206517620312,52.877857142857124,51.433399999999985
2015-04-30,2015,4,30,Thursday,17,2015-17,63.58,63.88,62.92,63.26,16840900,53.2,-0.005421574126004858,52.971428571428554,51.50539999999998
2015-05-01,2015,5,1,Friday,17,2015-17,63.7,63.87,63.33,63.61,11640100,53.49,0.005451127819548818,53.063571428571414,51.58559999999998
2015-05-04,2015,5,4,Monday,18,2015-18,63.68,64.87,63.64,64.72,14972500,54.43,0.01757337820153304,53.1642857142857,51.674999999999976
2015-05-05,2015,5,5,Tuesday,18,2015-18,64.51,65.32,64.29,64.4,17692400,54.16,-0.0049604997244167,53.175714285714264,51.76659999999997
2015-05-06,2015,5,6,Wednesday,18,2015-18,64.53,65.07,63.42,63.92,18087900,53.76,-0.00738552437223039,53.182857142857124,51.82559999999998
2015-05-07,2015,5,7,Thursday,18,2015-18,63.67,64.6,63.25,64.5,15039900,54.24,0.008928571428571397,53.28214285714284,51.888799999999975
2015-05-08,2015,5,8,Friday,18,2015-18,64.97,65.65,64.6,65.49,16802600,55.08,0.015486725663716783,53.41785714285713,51.961399999999976
2015-05-11,2015,5,11,Monday,19,2015-19,65.26,65.64,65.08,65.45,13798800,55.04,-0.000726216412490932,53.60642857142856,52.038399999999974
2015-05-12,2015,5,12,Tuesday,19,2015-19,65.31,65.54,64.76,65.36,12762200,54.97,-0.0012718023255814392,53.75214285714285,52.105799999999974
2015-05-13,2015,5,13,Wednesday,19,2015-19,65.42,65.63,65.06,65.52,11874100,55.1,0.0023649263234490903,53.91571428571428,52.17239999999997
2015-05-14,2015,5,14,Thursday,19,2015-19,65.83,66.18,65.71,66.05,11855500,55.55,0.008166969147005432,54.122857142857136,52.245199999999976
2015-05-15,2015,5,15,Friday,19,2015-19,66.13,66.16,65.44,65.88,11152100,55.4,-0.0027002700270026825,54.334999999999994,52.31719999999998
2015-05-18,2015,5,18,Monday,20,2015-20,65.8,66.54,65.8,66.42,10510900,55.86,0.008303249097473042,54.555,52.41699999999998
2015-05-19,2015,5,19,Tuesday,20,2015-20,66.77,67.19,66.57,67.01,14282700,56.35,0.00877192982456143,54.75928571428572,52.516399999999976
2015-05-20,2015,5,20,Wednesday,20,2015-20,66.95,67.03,66.4,66.48,12446000,55.91,-0.007808340727595509,54.952857142857134,52.63279999999997
2015-05-21,2015,5,21,Thursday,20,2015-20,66.14,66.68,66.01,66.65,12934500,56.05,0.0025040243248077854,55.13571428571428,52.74719999999998
2015-05-22,2015,5,22,Friday,20,2015-20,66.63,66.83,66.32,66.47,9296900,55.9,-0.00267618198037467,55.240714285714276,52.839799999999975
2015-05-26,2015,5,26,Tuesday,21,2015-21,66.2,66.29,65.31,65.73,15571300,55.28,-0.011091234347048284,55.32071428571428,52.92619999999998
2015-05-27,2015,5,27,Wednesday,21,2015-21,65.95,66.65,65.82,66.47,10963700,55.9,0.01121562952243127,55.47357142857142,53.01079999999998
2015-05-28,2015,5,28,Thursday,21,2015-21,66.36,66.4,65.74,66.2,11797400,55.67,-0.004114490161001738,55.57571428571428,53.094799999999985
2015-05-29,2015,5,29,Friday,21,2015-21,66.18,66.22,65.36,65.78,14310700,55.32,-0.006287048679719853,55.592857142857135,53.16939999999999
2015-06-01,2015,6,1,Monday,22,2015-22,65.99,66.66,65.97,66.08,11899300,55.57,0.004519161243673242,55.630714285714284,53.25819999999999
2015-06-02,2015,6,2,Tuesday,22,2015-22,65.83,66.39,65.58,66.02,12784200,55.52,-0.000899766060824092,55.669999999999995,53.33679999999998
2015-06-03,2015,6,3,Wednesday,22,2015-22,66.43,67.13,66.27,66.7,12927300,56.09,0.01026657060518743,55.740714285714276,53.43699999999999
2015-06-04,2015,6,4,Thursday,22,2015-22,66.31,67.05,66.01,66.33,13863300,55.78,-0.005526831877340044,55.75714285714285,53.54239999999999
2015-06-05,2015,6,5,Friday,22,2015-22,67.37,67.84,67.01,67.42,20801100,56.7,0.01649336679813551,55.85,53.680399999999985
2015-06-08,2015,6,8,Monday,23,2015-23,67.46,67.55,66.81,66.89,14558700,56.25,-0.00793650793650802,55.87785714285714,53.81059999999999
2015-06-09,2015,6,9,Tuesday,23,2015-23,66.95,67.27,66.47,67.18,13263500,56.5,0.004444444444444473,55.888571428571424,53.945599999999985
2015-06-10,2015,6,10,Wednesday,23,2015-23,67.59,68.5,67.47,68.26,17478900,57.41,0.01610619469026542,55.99571428571428,54.07519999999999
2015-06-11,2015,6,11,Thursday,23,2015-23,68.36,68.68,68.15,68.52,13739900,57.62,0.0036578993206759502,56.10785714285714,54.21539999999998
2015-06-12,2015,6,12,Friday,23,2015-23,68.31,68.54,67.87,68.25,11804700,57.4,-0.0038181187087816815,56.214999999999996,54.35499999999998
2015-06-15,2015,6,15,Monday,24,2015-24,67.58,68.21,67.3,67.99,14082300,57.18,-0.0038327526132404532,56.35071428571428,54.480599999999974
2015-06-16,2015,6,16,Tuesday,24,2015-24,67.77,68.52,67.62,68.37,11692800,57.5,0.005596362364463037,56.464999999999996,54.61359999999998
2015-06-17,2015,6,17,Wednesday,24,2015-24,68.41,68.68,68.04,68.14,14521900,57.3,-0.003478260869565264,56.58142857142857,54.73619999999998
2015-06-18,2015,6,18,Thursday,24,2015-24,68.35,68.82,67.9,68.78,16759600,57.84,0.009424083769633551,56.76142857142857,54.86619999999998
2015-06-19,2015,6,19,Friday,24,2015-24,68.46,68.67,67.92,68.08,21606400,57.25,-0.010200553250345856,56.881428571428565,54.97719999999998
2015-06-22,2015,6,22,Monday,25,2015-25,68.87,69.29,68.75,68.96,14306700,57.99,0.012925764192139866,57.05785714285714,55.09919999999998
2015-06-23,2015,6,23,Tuesday,25,2015-25,69.35,69.82,69.19,69.75,15736900,58.66,0.011553716157958194,57.241428571428564,55.228399999999986
2015-06-24,2015,6,24,Wednesday,25,2015-25,69.51,69.77,68.91,69.02,16995000,58.04,-0.010569382884418665,57.40285714285714,55.32879999999998
2015-06-25,2015,6,25,Thursday,25,2015-25,69.32,69.47,68.64,68.65,13314300,57.73,-0.005341144038594092,57.47642857142856,55.40339999999998
2015-06-26,2015,6,26,Friday,25,2015-25,68.94,69.29,68.77,68.95,14489200,57.99,0.004503724233500872,57.600714285714275,55.48999999999998
2015-06-29,2015,6,29,Monday,26,2015-26,67.68,68.26,67.16,67.2,19934400,56.51,-0.0255216416623556,57.60142857142856,55.56319999999999
2015-06-30,2015,6,30,Tuesday,26,2015-26,67.89,68.11,67.16,67.76,20677400,56.98,0.008317112015572503,57.57071428571428,55.63919999999999
2015-07-01,2015,7,1,Wednesday,26,2015-26,68.12,68.39,67.78,68.07,13964400,57.62,0.01123201123201123,57.57071428571428,55.74359999999999
2015-07-02,2015,7,2,Thursday,26,2015-26,67.95,68.13,67.19,67.52,12822900,57.15,-0.00815688996876085,57.552857142857135,55.827999999999996
2015-07-06,2015,7,6,Monday,27,2015-27,66.88,67.46,66.54,67.33,13527100,56.99,-0.002799650043744495,57.53928571428571,55.91159999999999
2015-07-07,2015,7,7,Tuesday,27,2015-27,67.09,67.22,65.3,66.8,22421500,56.54,-0.007896122126688887,57.47071428571428,55.98939999999999
2015-07-08,2015,7,8,Wednesday,27,2015-27,66.0,66.16,65.21,65.43,17707200,55.38,-0.02051644853201262,57.333571428571425,56.048399999999994
2015-07-09,2015,7,9,Thursday,27,2015-27,66.49,66.7,65.99,66.11,14984700,55.96,0.010473094980137265,57.199285714285715,56.11199999999999
2015-07-10,2015,7,10,Friday,27,2015-27,67.22,67.4,66.83,67.05,12356100,56.76,0.014295925661186537,57.16428571428571,56.1774
2015-07-13,2015,7,13,Monday,28,2015-28,67.89,68.14,67.68,68.09,16175600,57.64,0.015503875968992276,57.13928571428571,56.2662
2015-07-14,2015,7,14,Tuesday,28,2015-28,67.98,69.1,67.76,69.04,20185100,58.44,0.013879250520471897,57.123571428571424,56.3652
2015-07-15,2015,7,15,Wednesday,28,2015-28,69.23,69.43,68.85,69.19,16891600,58.57,0.0022245037645449717,57.16142857142857,56.44800000000001
2015-07-16,2015,7,16,Thursday,28,2015-28,69.63,69.95,69.41,69.56,18035700,58.88,0.005292812019805471,57.24357142857143,56.542400000000015
2015-07-17,2015,7,17,Friday,28,2015-28,69.35,69.49,68.92,69.21,14040700,58.58,-0.005095108695652217,57.285714285714285,56.63880000000001
2015-07-20,2015,7,20,Monday,29,2015-29,69.5,69.77,69.18,69.26,11512900,58.63,0.0008535336292250228,57.43714285714286,56.72660000000002
2015-07-21,2015,7,21,Tuesday,29,2015-29,69.16,69.54,68.87,69.1,11659900,58.49,-0.002387856046392689,57.545,56.794800000000016
2015-07-22,2015,7,22,Wednesday,29,2015-29,69.28,70.29,69.2,70.08,15493000,59.32,0.014190459907676534,57.666428571428575,56.880400000000016
2015-07-23,2015,7,23,Thursday,29,2015-29,70.19,70.61,69.46,69.64,14331800,58.95,-0.0062373567093728655,57.79500000000001,56.960000000000015
2015-07-24,2015,7,24,Friday,29,2015-29,69.44,69.56,68.68,68.91,12413900,58.33,-0.010517387616624352,57.890714285714296,57.02460000000002
2015-07-27,2015,7,27,Monday,30,2015-30,68.15,68.22,67.57,68.01,16801600,57.57,-0.013029315960912058,57.96428571428573,57.06500000000002
2015-07-28,2015,7,28,Tuesday,30,2015-30,68.55,68.6,67.77,68.05,14932400,57.6,0.0005211047420532466,58.122857142857164,57.109000000000016
2015-07-29,2015,7,29,Wednesday,30,2015-30,68.32,69.1,68.16,68.94,13059200,58.36,0.013194444444444509,58.29428571428573,57.15900000000001
2015-07-30,2015,7,30,Thursday,30,2015-30,68.93,69.45,68.54,69.04,10197200,58.44,0.001370801919122755,58.414285714285725,57.200800000000015
2015-07-31,2015,7,31,Friday,30,2015-30,69.01,69.04,68.4,68.53,11911800,58.01,-0.007357973990417488,58.4407142857143,57.242800000000024
2015-08-03,2015,8,3,Monday,31,2015-31,68.59,68.84,68.0,68.53,9980600,58.01,0.0,58.41000000000002,57.282000000000025
2015-08-04,2015,8,4,Tuesday,31,2015-31,68.47,68.95,68.31,68.46,10964000,57.95,-0.0010343044302705273,58.365714285714304,57.32300000000002
2015-08-05,2015,8,5,Wednesday,31,2015-31,69.05,69.42,68.56,68.73,11302900,58.18,0.0039689387402932486,58.3157142857143,57.381000000000014
2015-08-06,2015,8,6,Thursday,31,2015-31,68.75,68.94,68.0,68.25,10803400,57.77,-0.007047095221725641,58.257857142857155,57.41840000000001
2015-08-07,2015,8,7,Friday,31,2015-31,68.33,68.74,67.55,68.05,11453300,57.6,-0.0029427038255149807,58.18428571428573,57.45700000000001
2015-08-10,2015,8,10,Monday,32,2015-32,68.22,69.01,68.22,68.89,12661400,58.31,0.012326388888888928,58.17142857142858,57.5168
2015-08-11,2015,8,11,Tuesday,32,2015-32,68.23,68.4,67.85,68.23,14800300,57.76,-0.009432344366318013,58.06,57.5606
2015-08-12,2015,8,12,Wednesday,32,2015-32,67.41,67.55,66.07,67.24,21069000,56.92,-0.01454293628808856,57.915,57.58860000000001
2015-08-13,2015,8,13,Thursday,32,2015-32,67.25,67.8,66.97,67.55,11930600,57.18,0.004567814476458043,57.83285714285713,57.6104
2015-08-14,2015,8,14,Friday,32,2015-32,67.42,67.91,67.4,67.89,11248800,57.47,0.005071703392794724,57.82571428571428,57.64419999999999
2015-08-17,2015,8,17,Monday,33,2015-33,67.62,68.24,67.4,68.07,10326500,57.62,0.002610057421263301,57.827142857142846,57.66259999999999
2015-08-18,2015,8,18,Tuesday,33,2015-33,67.98,68.36,67.84,68.21,10617500,57.74,0.0020826102047901696,57.78285714285713,57.69239999999999
2015-08-19,2015,8,19,Wednesday,33,2015-33,67.93,68.31,67.36,67.6,15198200,57.22,-0.009005888465535183,57.69571428571427,57.70679999999999
2015-08-20,2015,8,20,Thursday,33,2015-33,66.81,67.04,65.94,65.94,20972300,55.82,-0.0244669695910521,57.539285714285704,57.67499999999999
2015-08-21,2015,8,21,Friday,33,2015-33,65.09,65.44,63.57,63.6,28235500,53.84,-0.035471157291293354,57.241428571428564,57.599399999999996
2015-08-24,2015,8,24,Monday,34,2015-34,59.29,62.92,50.07,60.25,36339100,51.0,-0.052748885586924255,56.74499999999999,57.471399999999996
2015-08-25,2015,8,25,Tuesday,34,2015-34,63.1,63.32,59.73,59.91,31772500,50.71,-0.005686274509803857,56.21142857142856,57.342
2015-08-26,2015,8,26,Wednesday,34,2015-34,61.8,62.98,60.55,62.91,33576800,53.25,0.050088739893512146,55.888571428571424,57.257
2015-08-27,2015,8,27,Thursday,34,2015-34,63.98,64.73,63.14,64.48,29045700,54.58,0.02497652582159615,55.67285714285714,57.20259999999999
2015-08-28,2015,8,28,Friday,34,2015-34,64.29,64.46,63.6,64.13,16687300,54.28,-0.005496518871381362,55.38499999999999,57.13139999999999
2015-08-31,2015,8,31,Monday,35,2015-35,63.61,64.35,63.47,64.1,14223400,54.26,-0.0003684598378776993,55.13499999999999,57.0716
2015-09-01,2015,9,1,Tuesday,35,2015-35,62.85,62.85,60.99,61.45,23637300,52.02,-0.0412827128639881,54.78499999999999,56.952200000000005
2015-09-02,2015,9,2,Wednesday,35,2015-35,62.62,62.91,61.54,62.57,17757900,52.96,0.018069973087273983,54.48357142857143,56.83820000000001
2015-09-03,2015,9,3,Thursday,35,2015-35,62.88,63.66,62.45,62.68,17065400,53.06,0.001888217522658664,54.16857142857142,56.738600000000005
2015-09-04,2015,9,4,Friday,35,2015-35,61.8,61.92,60.75,61.5,20189000,52.06,-0.01884658876743306,53.77142857142856,56.62520000000001
2015-09-08,2015,9,8,Tuesday,36,2015-36,62.77,63.2,62.33,63.16,13385100,53.46,0.026892047637341543,53.46571428571428,56.53460000000001
2015-09-09,2015,9,9,Wednesday,36,2015-36,63.94,64.34,62.0,62.18,13889500,52.63,-0.015525626636737733,53.13785714285713,56.45700000000001
2015-09-10,2015,9,10,Thursday,36,2015-36,61.86,63.0,61.45,62.66,15751100,53.04,0.0077902337070110406,52.939285714285695,56.37820000000001
2015-09-11,2015,9,11,Friday,36,2015-36,62.38,62.66,61.99,62.56,12766700,52.96,-0.0015082956259426794,52.876428571428555,56.28500000000001
2015-09-14,2015,9,14,Monday,37,2015-37,62.64,62.69,62.12,62.38,10202800,52.8,-0.0030211480362538623,53.00499999999998,56.19800000000001
2015-09-15,2015,9,15,Tuesday,37,2015-37,62.76,63.89,62.51,63.58,14023500,53.82,0.01931818181818179,53.22714285714284,56.13460000000002
2015-09-16,2015,9,16,Wednesday,37,2015-37,63.89,64.29,63.21,64.14,12235900,54.29,0.008732813080639223,53.30142857142855,56.08960000000002
2015-09-17,2015,9,17,Thursday,37,2015-37,64.14,64.64,62.39,62.65,21249200,53.03,-0.023208694050469658,53.19071428571426,56.04260000000002
2015-09-18,2015,9,18,Friday,37,2015-37,61.83,61.83,60.78,60.94,31008000,51.58,-0.027343013388647974,52.99785714285712,55.95500000000002
2015-09-21,2015,9,21,Monday,38,2015-38,61.52,61.91,61.08,61.45,13136400,52.02,0.008530438154323416,52.83785714285712,55.86020000000001
2015-09-22,2015,9,22,Tuesday,38,2015-38,60.6,61.09,60.42,60.91,14811900,51.56,-0.00884275278738944,52.804999999999986,55.73860000000001
2015-09-23,2015,9,23,Wednesday,38,2015-38,60.8,61.15,60.32,60.64,11712200,51.33,-0.004460822342901571,52.688571428571414,55.59640000000001
2015-09-24,2015,9,24,Thursday,38,2015-38,60.01,60.38,59.46,60.22,17293400,50.97,-0.007013442431326733,52.5392857142857,55.4444
2015-09-25,2015,9,25,Friday,38,2015-38,61.27,61.86,60.87,61.47,18384300,52.03,0.02079654698842459,52.53714285714284,55.30740000000001
